Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/18/2023,,,,,,,,,,,,,,,,,,,,,,,
All GHG data is presented in units of metric tons of carbon dioxide equivalent,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2022 Quantity of CO2 Received for Injection,2021 Quantity of CO2 Received for Injection,2020 Quantity of CO2 Received for Injection,2019 Quantity of CO2 Received for Injection,2018 Quantity of CO2 Received for Injection,2017 Quantity of CO2 Received for Injection,2016 Quantity of CO2 Received for Injection,2015 Quantity of CO2 Received for Injection,2014 Quantity of CO2 Received for Injection,2013 Quantity of CO2 Received for Injection,2012 Quantity of CO2 Received for Injection,2011 Quantity of CO2 Received for Injection
1002515,110043804096,ARTESIA GAS PLANT,ARTESIA,NM,88210,,EDDY COUNTY,32.7564,-104.2111,211130,"C,PP,UU,W-PROC",confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1010508,110071159820,Adair San Andres CO2 Injection Unit - Permian Basin 430,Houston,TX,77056,"2000 Post Oak Blvd, Suite 100",HOCKLEY COUNTY,33.471926,-102.53186,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1008358,110010658252,Agave Dagger Draw Gas Plant,Artesia,NM,88210,278 Pipeline Road,EDDY COUNTY,32.71629,-104.44602,211111,"C,PP,UU,W-PROC",,,,,,,confidential,confidential,confidential,confidential,confidential,
1009998,110071160568,Albert Spicer Upper Morrow Unit,Booker,TX,79005,,OCHILTREE COUNTY,36.4725,-100.5517,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1007367,110071160535,BPE GPRP Grasslands Gas Plant,Cartwright,ND,58838,,RICHLAND COUNTY,47.59043,-104.0005,211130,"C,NN-FRAC,PP,UU,W-PROC",confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1011121,110058238991,Bell Creek EOR Facility,Belle Creek,MT,59317,2 Encore Road,POWDER RIVER COUNTY,45.354589,-105.67196,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,,
1011485,110071160693,Big Sand Draw CO2 Facility,Riverton,WY,82501,,OKLAHOMA COUNTY,42.75407,-108.17038,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,,,
1009946,110071159434,Booker Field Area,Booker,TX,79005,,OCHILTREE COUNTY,36.458,-100.5462,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1009630,110071160367,Brookhaven EOR Facility,Brookhaven,MS,39601,1030 California Road,LINCOLN COUNTY,31.59027,-90.504853,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1014609,110071397381,CHSU Miller EOR Facility,Marmarth,ND,58643,,BOWMAN COUNTY,46.2125,-103.9412,211120,UU,confidential,,,,,,,,,,,
1012644,110071162185,CIRCLE RIDGE FIELD,Kinnear,WY,82516,,FREMONT COUNTY,43.53,-109.0539,211120,UU,,,confidential,confidential,confidential,confidential,confidential,,,,,
1006601,110055511129,CONSOL Energy Inc.,Cameron,WV,26033,32 Georgetown Road,MARSHALL,39.744326,-80.519758,212112,UU,,,,,,,,,,confidential,confidential,confidential
1013713,110070716055,CRI Bradac CO2 Injection,Bowman County,ND,58643,,OKLAHOMA COUNTY,46.231363,-103.951868,211120,UU,,,,confidential,confidential,confidential,confidential,confidential,,,,
1009997,110071160567,Camrick Unit,Balko,OK,73931,,BEAVER COUNTY,36.521,-100.8975,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1009778,110034226451,"Celero Energy II, LP 430 Permian Basin",Midland,TX,79701,400 West Illinois Suite 1601,MIDLAND COUNTY,31.99987,-102.07848,211111,"UU,W-ONSH",,,,,,,,,,confidential,confidential,
1009240,,Chevron MCA 430 Permian Basin,San Ramon,CA,94583,6001 Bollinger Canyon Road,,37.795963,-122.022317,211130,W-ONSH,,,,,,,,,,,,confidential
1009241,110002701238,Chevron MCA 595 Piceance Basin,San Ramon,CA,94583,6001 Bollinger Canyon Road,CONTRA COSTA,37.795963,-122.022317,211111,W-ONSH,,,,,,,,,,,,confidential
1010468,110055520761,Citronelle Alabama Power Project,Citronelle,AL,36522,8055 Joy Street,MOBILE,31.077872,-88.23407,211111,UU,,,,,,,0,0,13941.7,61250.3,40368.3,
1007479,,ConocoPhillips Permian (430),Houston,TX,77079,925 N. Eldridge Parkway,,32.02786,-102.09198,211120,"UU,W",,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1009631,110055517310,Cranfield EOR Facility,Cranfield,MS,39661,887 B Hwy 84,FRANKLIN COUNTY,31.486641,-91.09694,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1012519,110070082340,Delaware Basin Gas Plant,Coyanosa,TX,79730,1220 Conty Road 101,,31.2407567,-103.065333,211130,"C,PP,UU,W-PROC",confidential,confidential,confidential,confidential,confidential,confidential,confidential,,,,,
1009632,110043295797,Delhi EOR Facility,Delhi,LA,71232,481 Hwy 609,RICHLAND PARISH,32.441732,-91.588175,211120,UU,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
1013859,110070920488,Denver City Fields,Denver City,TX,79323,,GAINES COUNTY,32.9233,-102.9019,211120,UU,confidential,confidential,confidential,,,,,,,,,
1009434,,Diamondback E&P LLC,Midland,TX,79701,500 West Texas Suite 1200,,31.99844,-102.08054,211120,W-ONSH,,,,,confidential,,,,,,,
1008412,110071159380,Dilley Treating Facility,Cotulla,TX,78014,"28.596, -99.362",LA SALLE COUNTY,28.461253,-99.10135,211120,"C,PP,UU,W-PROC",confidential,confidential,confidential,confidential,confidential,confidential,confidential,,,,,
1010406,110071160948,Dollarhide CO2 Flood,Andrews,TX,79714,,ANDREWS COUNTY,32.145954,-103.048034,211130,UU,,,confidential,,,,confidential,confidential,confidential,confidential,confidential,
1014619,110071397384,ELOB Section 36 EOR Facility,Baker,MT,59313,,FALLON COUNTY,46.3186,-104.154997,211120,UU,confidential,,,,,,,,,,,
1004924,110043784535,Elk Basin Gas Plant,POWELL,WY,82435,37 Country Road 1NG,PARK COUNTY,44.866702,-108.814934,211130,"C,NN-FRAC,UU,W-PROC",confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential,confidential
