Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2022 Total reported emissions from Gathering & Boosting ,2021 Total reported emissions from Gathering & Boosting ,2020 Total reported emissions from Gathering & Boosting ,2019 Total reported emissions from Gathering & Boosting ,2018 Total reported emissions from Gathering & Boosting ,2017 Total reported emissions from Gathering & Boosting ,2016 Total reported emissions from Gathering & Boosting ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014558,,(540) Civitas Resources - GB - Denver Basin,540 - Denver Basin,Denver,CO,80202,555 17th St. Suite 3700,,39.7458215244102,-104.989242736558,211120,W-GB,79593.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012507,110070082329,220 Gulf Coast Basin,"220 - Gulf Coast Basin (LA, TX)",Houston,TX,77002,"811 Louisiana, Suite 2100",HARRIS COUNTY,29.75993,-95.366413,211130,W-GB,228165.616364599,52328.3106843199,103393.282932396,108171.47690814,118832.911201256,94790.854,44304.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012156,110071161819,260 - East Texas Basin Gathering/Boosting,260 - East Texas Basin,Houston,TX,77079,737 Eldridge Parkway,HARRIS COUNTY,29.77455,-95.61949,211130,W-GB,,4811.892,7459.59,9775.942,42127.186,46091.872,46921.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012155,110070082177,345 - Arkoma Basin Gathering/Boosting,345 - Arkoma Basin,Houston,TX,77079,737 Eldridge Parkway,HARRIS COUNTY,29.77455,-95.61949,211130,W-GB,,,,57854.928,61835.214,79632.81,78994.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012472,110070082329,345 Arkoma Basin,345 - Arkoma Basin,Houston,TX,77002,"811 Louisiana, Suite 2100",HARRIS COUNTY,29.75993,-95.366413,211130,W-GB,66774.5477098826,57575.7988394142,80394.8790083394,78340.2896690503,75659.5514558314,76386.288,55733.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012466,110070082329,350 South Oklahoma Folded Belt,350 - South Oklahoma Folded Belt,Houston,TX,77002,"811 Louisiana, Suite 2100",HARRIS COUNTY,29.75993,-95.366413,211130,W-GB,90945.5901670112,134291.415060188,191496.900250883,179280.326805972,181005.22190282,181826.442,177420.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012522,110071099264,360 Anadarko Basin,360 - Anadarko Basin,Houston,TX,77002,811 Louisiana Suite 2100,HARRIS COUNTY,29.75993,-95.366413,211130,W-GB,254529.554488249,309110.712341167,380811.019130743,467309.12658582,505632.372184596,466539.002,425139.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012523,110070082329,375 Sedgwick Basin,375 - Sedgwick Basin,Houston,TX,77002,"811 Louisiana, Suite 2100",HARRIS COUNTY,29.75993,-95.366413,211130,W-GB,37528.1052032612,44717.2516281852,53589.4329785918,71270.4436765129,82615.6007712178,92435.938,89575.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012526,110070082329,395 Williston Basin,395 - Williston Basin,Houston,TX,77002,"811 Louisiana, Suite 2100",HARRIS COUNTY,29.75993,-95.366413,211130,W-GB,151887.250425573,149687.162111907,128132.521218891,121275.841435958,93274.0317936916,76802.128,96379.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014714,,395 Williston Basin GB WPX,395 - Williston Basin,OKLAHOMA CITY,OK,73102,333 W Sheridan Ave,,35.4671552868991,-97.5177363607887,211120,W-GB,31475.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012545,110070082357,415 Strawn BKV  GB,415 - Strawn Basin,FORT WORTH,TX,76106,4800 BLUE MOUND RD,,32.78882,-97.34363,211130,W-GB,146090.176,467586.878,324994.864,371373.736,290344.254,489785.468,531444.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012495,110070082329,420 Fort Worth Syncline,420 - Fort Worth Syncline,Houston,TX,77002,"811 Louisiana, Suite 2100",HARRIS COUNTY,29.75993,-95.366413,211130,W-GB,165399.500688842,123751.968028639,228112.513624717,222285.962169986,200906.65235586,222562.418,267262.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012544,110070082356,420 Fort Worth Syncline BKV  GB,420 - Fort Worth Syncline,Fort Worth,TX,76106,4800 Blue Mound Rd,,32.78882,-97.34363,211130,W-GB,13592.052,41750.048,69958.006,78644.008,49822.682,55779.17,56570.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012470,110070082329,425 Bend Arch,425 - Bend Arch,Houston,TX,77002,"811 Louisiana, Suite 2100",HARRIS COUNTY,29.75993,-95.366413,211130,W-GB,30570.11051712,36428.7147944027,45976.063755619,67799.9992079663,48250.8278421591,55754.614,77514.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
