Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,State where Emissions Occur,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2022 Total reported direct emissions from Local Distribution Companies,2021 Total reported direct emissions from Local Distribution Companies,2020 Total reported direct emissions from Local Distribution Companies,2019 Total reported direct emissions from Local Distribution Companies,2018 Total reported direct emissions from Local Distribution Companies,2017 Total reported direct emissions from Local Distribution Companies,2016 Total reported direct emissions from Local Distribution Companies,2015 Total reported direct emissions from Local Distribution Companies,2014 Total reported direct emissions from Local Distribution Companies,2013 Total reported direct emissions from Local Distribution Companies,2012 Total reported direct emissions from Local Distribution Companies,2011 Total reported direct emissions from Local Distribution Companies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008026,110071160130,Ameren Illinois,IL,Peoria,IL,61602,300 Liberty Street,PEORIA COUNTY,40.69045,-89.5924,221210,"NN-LDC,W-LDC",82377.892,76659.696,74939.996,74762.846,99558.146,74961.1,73739.346,105051.594,75801.6,75662.2,75480.25,73414.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004034,110071160131,Ameren Missouri,MO,St. Louis,MO,63103,1901 Chouteau Avenue,ST. LOUIS CITY,38.620667,-90.211086,221210,"NN-LDC,W-LDC",15062.1,14890.65,14759.55,14674.95,13714.75,13668.5,13556.8,13459.2,13412.6,13353.6,13736.25,13271.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004975,110071160686,Arkansas Oklahoma Gas Corp (AR),AR,Fort Smith,AR,72903,5030 South S Street,SEBASTIAN COUNTY,35.363559,-94.37686,221210,NN-LDC,,,,,,8961.2,9771.05,11131.7,10870.5,10821.8,11025.5,11509.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006481,,Arkansas Oklahoma Gas Corp (OK),OK,Fort Smith,AR,72903,5030 South S Street,,35.36353,-94.37573,221210,NN-LDC,,,,,,2983.45,2977.35,3220.5,2447.55,3111.7,3129.45,3426.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007872,110071161198,Atlanta Gas Light Company,GA,Atlanta,GA,30309,Ten Peachtree Place,FULTON COUNTY,33.797114,-84.380489,221210,"NN-LDC,W-LDC",175745.35,200092.9,165161.15,154525.296,156542.84,154795.438,151902.05,160923.894,155671.85,155513.8,191483.4,217658.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004794,110070081906,Atmos Energy Corporation - Colorado,CO,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.925488,-96.816137,221210,"NN-LDC,W-LDC",23799.7,22833,24339.55,24759.3,24623.6,26282.35,24580.35,29139.35,18882.7,19471.9,19600.35,20646.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001388,110071162238,Atmos Energy Corporation - Kansas,KS,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.925488,-96.816137,221210,"NN-LDC,W-LDC",23232.25,23302.85,24108,23137.65,22121.6,22788.75,16324.2,24407.15,16753.2,16375.6,16710.6,17343.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001389,110043973153,Atmos Energy Corporation - Kentucky,KY,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.92548,-96.81613,221210,"NN-LDC,W-LDC",23443.2,24439.65,25478.95,27025,27370.25,30600.05,28053.05,26994.25,29809.7,30628.7,26830.55,28797.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001390,110043973153,Atmos Energy Corporation - Louisiana,LA,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.92548,-96.81613,221210,"NN-LDC,W-LDC",53855.05,50292,50207.15,51808.9,51349.55,49683.65,49069.6,47793.25,45866.85,43786.45,44012.9,46549.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001391,110071159496,Atmos Energy Corporation - Mississippi,MS,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.925488,-96.816137,221210,"NN-LDC,W-LDC",65173.25,56267.95,47970.55,47282.4,50847.45,54417.15,59779.25,58274.45,35216.25,30123.45,29342.7,30446.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006887,110043973153,Atmos Energy Corporation - Tennessee,TN,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.92548,-96.81613,221210,"NN-LDC,W-LDC",18081.3,17832.75,17576.7,17258.55,17402,19005.65,21455.8,24466,19284,14359.6,17286.55,17795.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001398,110071159497,Atmos Energy Corporation - Texas,TX,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.925488,-96.816137,221210,"NN-LDC,W-LDC",388144.05,394677.45,437152.55,474904.55,481623.9,519125.5,846637.55,866271.5,505747.65,544204,700863.75,653694.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001402,110071159498,Atmos Energy Corporation- Virginia,VA,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.925488,-96.816137,221210,"NN-LDC,W-LDC",2670.45,2654.45,2662.7,2655.7,2673.2,2590.6,2652.2,10709.9,2785.55,2734.95,2716.95,3712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003292,110071161205,Avista Corporation-OR,OR,Spokane,WA,99220,1411 E Mission,SPOKANE COUNTY,47.66,-117.39,221210,NN-LDC,,,,,,,,,9898.15,9851.25,9879.75,10104.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003050,110071161359,Avista Corporation-WA,WA,Spokane,WA,99220,1411 E. Mission,SPOKANE COUNTY,47.66,-117.39,221210,"NN-LDC,W-LDC",16212.5,16107.9,16035.8,15892.85,15761.5,15614.8,15512.95,15347.75,15252.4,15198.8,15134.2,15112.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005477,110071159904,Baltimore Gas & Electric Company,MD,Baltimore,MD,21230,1699 Leadenhall Street,BALTIMORE CITY,39.271299,-76.618519,221210,"NN-LDC,W-LDC",177590.746,182992.948,191349.148,201118.648,210048.748,219254.598,229688.948,235128.85,240933.15,245613.3,249454.45,255597.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008731,,Bangor Natural Gas Co.,ME,Bangor,ME,04401,498 Maine Avenue,,44.81311,-68.80581,221210,NN-LDC,,,,,,,,,,,679.05,593.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006762,110071160639,Batesville Water & Gas Utility,IN,Batesville,IN,47006,7 N. Eastern Ave.,RIPLEY COUNTY,39.298528,-85.214528,221210,"NN-LDC,W-LDC",384,384.25,374.75,375.25,440.6,416.75,368,368,368,307.25,365.75,221.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005329,110071159223,Benton Gas System,KY,Benton,KY,42025,201 Main Street,MARSHALL COUNTY,36.85812,-88.35076,221210,"NN-LDC,W-LDC",1404.45,1399.2,1389.7,1380.2,899.1,1365.95,1347.35,1279.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006528,110071161694,"Black Hills Colorado Gas, Inc. dba Black Hills Energy",CO,Fountain,CO,80817,7060 Alegre Street,EL PASO COUNTY,38.72966,-104.72517,221210,"NN-LDC,W-LDC",34442.75,33943.65,33539.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006604,110043815057,Black Hills Energy Arkansas LLC.,AR,Fayetteville,AR,72703,655 E. Millsap Road Suite 104,JEFFERSON COUNTY,36.1166792878705,-94.1477479243083,221210,"NN-LDC,W-LDC",173964.4,173850.8,164197.2,104075.8,97976.25,65689,61738.55,61305.3,60879.8,62274.2,67661.55,65322.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004607,110043815057,"Black Hills Gas Distribution Colorado LLC, dba Black Hills Energy",CO,Fountain,CO,80817,7060 Alegre Street,JEFFERSON COUNTY,39.722098,-105.135202,221210,NN-LDC,,,,,,,,16043.45,16004.25,15699.4,15104.7,14535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006605,110043815057,"Black Hills Gas Distribution Nebraska LLC, dba Black Hills Energy",NE,Lincoln,NE,68512,1600 Windhoek Drive,JEFFERSON COUNTY,39.722098,-105.135202,221210,NN-LDC,,,,,,,,21232.85,21395.8,21671.6,23198.85,20346.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006603,110043815057,"Black Hills Gas Distribution Wyoming LLC, dba Black Hills Energy",WY,Cheyenne,WY,82001,1301 West 24th Street,JEFFERSON COUNTY,39.722098,-105.135202,221210,NN-LDC,,,,,,,,10277.3,13601.45,12217.8,12160.75,10864.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006387,110071161364,"Black Hills Nebraska Gas, LLC. dba Black Hills Energy",NE,Lincoln,NE,68512,1600 Windhoek Drive,LANCASTER COUNTY,40.7587,-96.69715,221210,"NN-LDC,W-LDC",52227.9,55155.9,58346.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005450,110043811881,Boaz Gas Board,AL,Boaz,AL,35957,138 North Main Street,MARSHALL COUNTY,34.198911,-86.165739,221210,"NN-LDC,W-LDC",,,,,1068.8,1051.3,1031.45,1006.2,993.2,968.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002481,110071161353,Boston Gas Company,MA,Waltham,MA,02451,40 Sylvan Road,MIDDLESEX COUNTY,42.397671,-71.270903,221210,"NN-LDC,W-LDC",356733.6,367635.6,348496.1,356606.55,367783.8,373891.85,389787.3,401374.45,410457,421408.5,428894,441508.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004115,110071160443,CON EDISON - NATURAL GAS DELIVERY SYSTEM,NY,New York,NY,10003,"4 Irving Place, Rm 1634",NEW YORK COUNTY,40.734108,-73.98868,221210,"NN-LDC,W-LDC",191359.446,200737.948,210759.148,219555.546,230635.144,238464.596,246152.546,254505.596,259415.4,268611.1,317095.45,322590.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004450,,CPS Energy Natural Gas System,TX,San Antonio,TX,78205,145 Navarro,,29.42243,-98.49045,221210,"NN-LDC,W-LDC",29522,29165.85,29179.35,29084,28679,28081.3,27863.75,27649.95,27958.6,27337.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011331,,Cairo Public Utility,IL,Cairo,IL,62914,1100 Commercial Ave,,37.00249,-89.16794,221210,"NN-LDC,W-LDC",632.05,599.45,600.2,668.9,689.55,690.9,561.1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006497,110071161161,Cascade Natural Gas Coporation - Washington,WA,Kennewick,WA,99336,8113 W Grandridge Blvd,BENTON COUNTY,46.21929,-119.22946,221210,"NN-LDC,W-LDC",25016.698,24418.248,23564.148,23358.05,23973.05,26227.05,,,,,,13416.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002219,110071161717,Cascade Natural Gas Corporation - Oregon,OR,Kennewick,WA,99336,8113 W Grandridge Blvd,BENTON COUNTY,46.21929,-119.22946,221210,NN-LDC,,,,,,,,,,,4711.85,4692.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007941,110071160499,Cedar Falls Municipal Gas Utility,IA,Cedar Falls,IA,50613,1 Utility Parkway,BLACK HAWK COUNTY,42.52737,-92.44079,221210,"NN-LDC,W-LDC",1140.15,1137.4,1137.15,1123.9,1111.4,1114,1098.9,1081.4,1063.05,1053.55,1041.2,1028.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004047,110071162426,CenterPoint Energy Arkla (Louisiana),LA,Houston,TX,77002,1111 Louisiana,HARRIS COUNTY,29.75761,-95.36826,221210,"NN-LDC,W-LDC",,15914.7,15555.2,15531.45,23530.45,30500.55,33314.35,35230.9,37041.4,41653.45,44169.6,46127.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004090,110071162538,CenterPoint Energy Arkla (Texas),TX,Houston,TX,77002,1111 Louisiana,HARRIS COUNTY,29.75761,-95.36826,221210,"NN-LDC,W-LDC",,1638,1613.9,1608.65,2639.85,2491.5,2138.6,3698.5,4404.3,5683.55,6580.15,5927.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004198,110071160441,CenterPoint Energy Entex (Louisiana),LA,Houston,TX,77002,P.O. Box 0305,HARRIS COUNTY,29.752554,-95.370401,221210,"NN-LDC,W-LDC",34982.1,14071.15,18991.65,19279.95,18402,18358.75,18830.95,18629.9,19836.3,18617.05,19195.25,19066.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004049,110071159240,CenterPoint Energy Entex (Mississippi),MS,Houston,TX,77002,P.O. Box 0305,HARRIS COUNTY,29.752554,-95.370401,221210,"NN-LDC,W-LDC",19747.8,19723.45,19457.9,19371.05,18777.1,19038.4,19580.85,19453.4,20321.6,18513.7,18479.1,18104.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005925,110071162239,CenterPoint Energy Entex (Texas),TX,Houston,TX,77002,P.O. Box 0305,HARRIS COUNTY,29.752554,-95.370401,221210,"NN-LDC,W-LDC",167742,166452.4,162433.85,162218.05,172344.9,167435.85,166919.5,168276.6,168757,166132.05,166842.15,147447.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004086,110071160439,CenterPoint Energy Minnesota Gas,MN,Minneapolis,MN,55459,"800 LaSalle Ave, Floor 14, PO Box 59038",HENNEPIN COUNTY,44.97619,-93.27482,221210,"NN-LDC,W-LDC",68220.6,67815.35,69271.65,71782.9,72968.7,75336.05,78053.25,81369.25,85445.9,89185.95,93553.05,96760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000011,110000807379,Central Hudson Gas and Electric Corporation,NY,Poughkeepsie,NY,12601,284 South Avenue,DUTCHESS COUNTY,41.690648,-73.931605,221122,"NN-LDC,W-LDC",12367.7,17236.4,19547.35,22126.4,23483.046,24903.3,26034.95,28628.3,33809.95,28696,34786.75,35610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
