Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/18/2023,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab).,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2022 Total reported direct emissions from Electrical Equipment Use,2021 Total reported direct emissions from Electrical Equipment Use,2020 Total reported direct emissions from Electrical Equipment Use,2019 Total reported direct emissions from Electrical Equipment Use,2018 Total reported direct emissions from Electrical Equipment Use,2017 Total reported direct emissions from Electrical Equipment Use,2016 Total reported direct emissions from Electrical Equipment Use,2015 Total reported direct emissions from Electrical Equipment Use,2014 Total reported direct emissions from Electrical Equipment Use,2013 Total reported direct emissions from Electrical Equipment Use,2012 Total reported direct emissions from Electrical Equipment Use,2011 Total reported direct emissions from Electrical Equipment Use
1003708,110000591930,AEP Corporate SF6 Emissions,Columbus,OH,43215,1 Riverside Plaza,WASHINGTON COUNTY,39.588493,-81.682523,221112,DD,76825.8312,415114.47,518551.0248,412248.7152,5150.2692,197281.56,464030.16,148364.16,124825.44,134433.36,88826.52,123781.2
1010640,110006650212,"ALLETE, Inc. Transmission and Distribution System",Duluth,MN,55802,30 West Superior Street,ST. LOUIS COUNTY,46.78592,-92.099,221122,DD,,,,,,,,,2191.08,2227.56,7736.04,1436.4
1010811,110010724216,Ameren Illinois Electric,Peoria,IL,61602,300 Liberty Street,PEORIA COUNTY,40.69048,-89.59244,221122,DD,7667.5944,9965.4468,7644.84,8846.4,30171.24,9888.36,23251.44,10488,20241.84,28244.64,91298.04,11251.8
1010812,110054133479,Ameren Missouri Electric,St. Louis,MO,63103,1901 Chouteau Avenue,ST. LOUIS CITY,38.620785,-90.211635,221122,DD,13142.49,5741.1996,5264.0184,10745.64,14706,20301.12,5180.16,5492.52,35928.24,13025.64,14322.96,31703.4
1009444,110043470721,American Transmission Company,Waukesha,WI,53188,W234 N2000 Ridgeview Parkway Court,WAUKESHA,43.060408,-88.225005,221121,DD,,,,,,,,4933.92,2658.48,11561.88,33518.28,10859.64
1010076,110066446643,Anaheim Electric Distribution System,Anaheim,CA,92805,"201 S. Anaheim Blvd., MS-1101",ORANGE COUNTY,33.83458,-117.91401,221122,DD,2226.6024,1243.1016,1810.32,2845.44,2152.32,1422.72,6037.44,2975.4,1876.44,7685.88,7986.84,6513.96
1000068,110070081751,Apex Generating Station,LAS VEGAS,NV,89165,15555 APEX POWER PARKWAY,Clark,36.4178,-114.9622,221112,"C,D",,,,,,,,,,,0,0
1009780,110011802148,Arizona Public Service Company,Phoenix,AZ,85021,2124 W. Cheryl Ave.,MARICOPA COUNTY,33.578425,-112.104408,221121,DD,10761.0528,4861.416,40777.8,9238.56,9482.52,14897.52,26454.84,54697.2,38876.28,14033.4,4190.64,36288.48
1011060,110015584848,Associated Electric Cooperative Inc.,Springfield,MO,65807,2814 South Golden Ave,GREENE COUNTY,37.16376,-93.34117,221121,DD,,,,,,,25.08,20.52,1593.72,0,,
1009651,110032329941,Atlantic City Electric,Carneys Point,NJ,08069,5 Collins Drive,SALEM COUNTY,39.70545,-75.44815,221122,DD,,,,,,,,,1126.32,1780.68,5583.72,5038.8
1000851,110015759874,Austin Energy Transmission and Distribution,Austin,TX,78704,721 Barton Springs Road,TRAVIS COUNTY,30.25898,-97.75186,221121,DD,,,,,,,1981.32,3278.64,2879.64,1846.8,10994.16,3823.56
