Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,State where Emissions Occur,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2022 Total reported direct emissions from Transmission Pipelines,2021 Total reported direct emissions from Transmission Pipelines,2020 Total reported direct emissions from Transmission Pipelines,2019 Total reported direct emissions from Transmission Pipelines,2018 Total reported direct emissions from Transmission Pipelines,2017 Total reported direct emissions from Transmission Pipelines,2016 Total reported direct emissions from Transmission Pipelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012420,110071162048,Algonquin Gas Transmission L.L.C.,Connecticut,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,,1541.8,1036.7,7735.4,717.3,10773.15,1264.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012420,110071162048,Algonquin Gas Transmission L.L.C.,Massachusetts,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,,1815.35,337.4,3347.65,23,264.55,7515.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012420,110071162048,Algonquin Gas Transmission L.L.C.,New Jersey,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,,1294.5,9.75,465.75,1520.8,19.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012420,110071162048,Algonquin Gas Transmission L.L.C.,New York,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,,612.95,39.5,4692.15,7092.2,1551.05,24960.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012420,110071162048,Algonquin Gas Transmission L.L.C.,Rhode Island,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,,537.1,83.6,15,16.75,,192.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012922,,Alpine High Pipeline,Texas,Midland,TX,79705,303 Veterans Airpark Lane Suite 2000,,32.0344725722637,-102.088028818375,221210,W-TRANS,,,,,37094.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013856,110070930991,Atmos Pipeline Texas,Texas,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.92548,-96.81613,486210,W-TRANS,21465.0903622,27230.8686137,84077.6194957,112132.0227041,204567.9400664,146756.1295839,115793.6763288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012634,110062051880,Consumers Energy Company - Transmission Pipeline,Michigan,Jackson,MI,49201,One Energy Plaza,JACKSON COUNTY,42.24668,-84.40311,486210,W-TRANS,139434.4035415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010455,110059765384,"DCP Midstream, LP",Colorado,Denver,CO,80202,"370 17th Street, Suite 2500",DENVER COUNTY,39.74369,-104.98777,211130,"MM-EXP,W-TRANS",,,,,136.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010455,110059765384,"DCP Midstream, LP",Kansas,Denver,CO,80202,"370 17th Street, Suite 2500",DENVER COUNTY,39.74369,-104.98777,211130,"MM-EXP,W-TRANS",,,,1977.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010455,110059765384,"DCP Midstream, LP",New Mexico,Denver,CO,80202,"370 17th Street, Suite 2500",DENVER COUNTY,39.74369,-104.98777,211130,"MM-EXP,W-TRANS",,,10.012,2113.68,2201.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010455,110059765384,"DCP Midstream, LP",Oklahoma,Denver,CO,80202,"370 17th Street, Suite 2500",DENVER COUNTY,39.74369,-104.98777,211130,"MM-EXP,W-TRANS",,,1405.6,13793.242,8565.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010455,110059765384,"DCP Midstream, LP",Texas,Denver,CO,80202,"370 17th Street, Suite 2500",DENVER COUNTY,39.74369,-104.98777,211130,"MM-EXP,W-TRANS",,,3135.463,371.027,277.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013773,110004647142,Dominion Energy Ohio - Transmission Pipelines (TPL),Ohio,Cleveland,OH,44103,1201 East 55th Street,CUYAHOGA COUNTY,41.52712,-81.652,221210,W-TRANS,5197.776773,1641.8501064,8104.6147728,38219.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013663,110070716075,EGT Arkansas,Arkansas,Oklahoma City,OK,73100,"499 W. Sheridan, Suite 1500",OKLAHOMA COUNTY,35.46646,-97.52124,486210,W-TRANS,9278.99582,16037.787264,29838.4,52247.007492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013663,110070716075,EGT Arkansas,Oklahoma,Oklahoma City,OK,73100,"499 W. Sheridan, Suite 1500",OKLAHOMA COUNTY,35.46646,-97.52124,486210,W-TRANS,10102.2581395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013663,110070716075,EGT Arkansas,Texas,Oklahoma City,OK,73100,"499 W. Sheridan, Suite 1500",OKLAHOMA COUNTY,35.46646,-97.52124,486210,W-TRANS,696.25597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013059,110070716075,EGT Kansas,Kansas,Oklahoma City,OK,73100,"499 W. Sheridan, Suite 1500",OKLAHOMA COUNTY,35.46646,-97.52124,486210,W-TRANS,,,0.010488,,,37791.211618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014306,110070716075,EGT Louisiana,Louisiana,Oklahoma City,OK,73100,"499 W. Sheridan, Suite 1500",OKLAHOMA COUNTY,35.46646,-97.52124,486210,W-TRANS,,68344.724581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013062,110070716075,EGT Texas,Texas,Oklahoma City,OK,73100,"499 W. Sheridan, Suite 1500",OKLAHOMA COUNTY,35.46646,-97.52124,486210,W-TRANS,,375.596656,21424.973696,,0.027382,138913.066218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
