zip,foreclosures_sum,population,moe_pop,income,moe_inc,percapita
21862,2,0,13,NA,NA,Inf
21867,2,0,13,NA,NA,Inf
20230,1,0,14,NA,NA,Inf
21105,1,0,13,NA,NA,Inf
21542,40,154,71,13889,12100,2597.402597402597
21626,17,66,42,53500,19825,2575.7575757575755
21675,9,62,36,41607,29843,1451.6129032258066
21644,2,15,12,NA,NA,1333.3333333333333
20656,11,84,105,50547,44364,1309.5238095238096
21648,14,116,55,140694,52314,1206.896551724138
21814,17,180,192,94844,82706,944.4444444444445
21627,2,23,17,NA,NA,869.5652173913044
21641,10,122,51,62917,29054,819.6721311475409
21672,13,162,96,70577,31434,802.469135802469
21077,6,76,77,161382,97919,789.4736842105262
20606,7,101,70,101875,75748,693.0693069306931
20616,480,6934,1104,101192,11800,692.2411306605134
21543,22,335,119,33750,30612,656.7164179104477
20695,741,11822,1191,118085,11992,626.7974961935374
20612,8,132,97,NA,NA,606.0606060606061
20613,868,14595,1062,136111,14921,594.7242206235012
20607,660,11122,1498,141992,14314,593.4184499190793
21715,2,34,60,NA,NA,588.2352941176471
20601,1568,26740,1702,105899,5510,586.3874345549739
20623,139,2534,353,126591,31018,548.5398579321231
21865,19,358,151,110278,29464,530.7262569832402
20743,2010,38742,1811,68762,5124,518.816787982035
20640,554,10853,924,80375,12999,510.4579378973555
21914,37,725,240,65417,44300,510.3448275862069
20772,2710,53161,2533,126503,5907,509.7722014258573
21643,271,5332,570,61115,17180,508.25206301575395
21545,81,1625,237,48654,16555,498.46153846153845
21214,1083,21924,1730,73308,5734,493.97920087575255
20618,46,941,342,52175,11198,488.84165781083954
20774,2467,50483,2353,111934,4772,488.6793574074441
21206,2480,51643,2574,58036,3709,480.2199717289855
20645,34,711,181,131719,52694,478.1997187060478
20735,1854,39181,1546,113809,5232,473.188535259437
21130,3,66,105,NA,NA,454.54545454545456
21216,1240,27643,2347,42906,4039,448.57649314473827
21213,1324,29579,1744,44121,2461,447.6148618952636
21133,1351,31383,2019,77593,5368,430.48784373705513
20602,1202,28277,1527,93814,5242,425.08045407928705
21229,1857,43933,2375,48725,2907,422.68909475792685
21664,27,648,236,70288,17066,416.66666666666663
21930,1,24,39,NA,NA,416.66666666666663
21239,1227,29619,2208,57103,3409,414.26111617542796
20657,839,20420,1484,108640,16298,410.871694417238
20747,1691,41445,2161,67136,4282,408.01061647967185
21634,15,372,140,46154,39415,403.22580645161287
21733,36,914,290,87198,21254,393.8730853391685
20603,1256,31897,1796,126721,8929,393.76743894410134
20748,1594,40644,2780,73194,2725,392.18580848341696
20744,2193,56185,2692,112260,4249,390.3177004538578
21207,2005,51927,2615,57011,4206,386.1189747145031
21652,6,156,73,110846,16993,384.61538461538464
21632,234,6090,413,52758,5730,384.2364532019704
20621,30,786,387,NA,NA,381.6793893129771
20721,1170,30771,1988,148158,19100,380.22813688212926
21861,28,738,156,74609,6091,379.4037940379404
21215,1942,52550,2665,42357,3246,369.5528068506185
21040,914,24811,1727,72277,7208,368.38499052839467
20764,124,3371,638,97778,15894,367.84336991990506
21829,13,365,215,133375,84775,356.16438356164383
21767,21,592,214,44018,11693,354.72972972972974
20608,26,734,231,75313,8976,354.2234332425068
21639,171,4881,668,54882,10424,350.3380454824831
20675,62,1772,456,101941,33085,349.88713318284425
21817,144,4146,577,48022,5673,347.32272069464545
21875,243,7052,607,65294,3211,344.58309699376065
20658,32,929,219,75500,19916,344.45640473627554
20716,769,22390,1130,109177,3276,343.4569004019652
21636,31,912,286,70100,23447,339.9122807017544
20746,936,27669,1676,72562,4072,338.2847229751708
20662,82,2437,444,59356,23142,336.4792778005745
21557,51,1516,435,45093,14318,336.4116094986808
20676,102,3036,527,134669,29857,335.9683794466403
21640,54,1627,359,70875,11916,331.8992009834051
21872,19,573,340,101276,6954,331.5881326352531
21562,102,3093,628,46961,10017,329.7769156159069
21762,6,184,200,NA,NA,326.0869565217391
21638,166,5125,618,120938,23833,323.9024390243903
21623,80,2478,373,69893,10733,322.8410008071025
21162,149,4640,600,139028,29588,321.12068965517244
21913,30,935,305,73750,43477,320.85561497326205
21222,1912,59622,2471,56940,1831,320.6869947334876
21060,1184,37038,1889,86669,5698,319.67168853609803
21716,210,6594,251,87134,15285,318.47133757961785
20685,216,6874,865,114323,17644,314.2275240034914
21821,23,732,166,36875,8271,314.20765027322403
20687,13,417,173,130463,90770,311.7505995203837
20706,1356,44305,2471,91668,3880,306.0602640785464
20678,377,12415,923,109474,9724,303.6649214659686
21220,1264,41627,1937,72724,5845,303.6490739183703
21226,188,6210,1186,67064,13074,302.7375201288245
21017,176,5816,688,82794,5017,302.61348005502066
21629,301,9999,556,64534,5917,301.03010301030105
21842,327,10960,471,63630,5600,298.35766423357666
20720,776,26042,1460,147635,14882,297.9801858536211
20785,1237,41655,1946,77829,3977,296.9631496819109
21756,91,3069,472,95500,39620,296.5135223199739
21085,482,16350,1143,97919,7218,294.8012232415902
21001,752,25708,1051,73071,6021,292.51594834292825
21056,8,274,226,250001,NA,291.97080291970804
21850,99,3405,558,67813,9318,290.7488986784141
21871,52,1799,325,57857,22092,289.04947192884936
21766,15,522,184,53036,19630,287.35632183908046
21660,113,3942,289,71900,7591,286.65651953323186
21052,19,670,227,68542,50949,283.5820895522388
20722,173,6116,520,77146,12973,282.8646173969915
21607,18,640,269,87917,30303,281.25
21701,1125,40203,1574,90531,2423,279.8298634430266
21223,574,20531,1527,31947,4792,279.5772246846233
21840,13,465,321,80724,73211,279.5698924731183
20714,130,4678,850,79655,8854,277.89653698161607
21661,74,2667,344,64643,12991,277.4653168353956
20769,188,6831,1221,150077,22109,275.21592738984043
21237,839,30895,1828,80401,5793,271.5649781518045
21782,118,4358,524,77929,7403,270.76640660853604
21219,251,9278,1015,101172,16654,270.53244233671046
21903,153,5658,432,76016,13845,270.4135737009544
21651,67,2488,373,64500,15645,269.29260450160774
20705,750,27914,2200,95802,2448,268.68238160063055
21051,4,149,79,170972,93580,268.4563758389262
20664,89,3327,515,88167,31017,267.5082657048392
21758,119,4454,595,96863,13697,267.17557251908397
20646,548,20608,933,119306,9676,265.916149068323
20732,277,10447,548,120358,9310,265.1478893462238
20659,629,23990,1473,108183,6859,262.1925802417674
20611,29,1111,252,117697,26029,261.02610261026103
21787,279,10697,548,77352,4373,260.8207908759465
21244,998,38266,2180,72999,3633,260.80593738566876
20667,9,347,248,36048,26516,259.3659942363112
21921,1159,44793,1358,76214,4950,258.7457861719465
20637,161,6223,676,130547,22542,258.71766029246345
21221,1095,43576,2207,60477,3702,251.28511107031395
20617,13,521,207,113478,48163,249.5201535508637
20634,204,8198,1200,116123,9412,248.841180775799
20689,58,2331,684,165066,33677,248.82024882024882
20745,739,29736,1723,73228,4115,248.5203120796341
20690,22,886,330,136339,73574,248.30699774266364
21225,850,34362,1715,43707,5253,247.36627670100694
21234,1629,66011,2180,73377,3193,246.77705230946356
20715,659,26880,1286,130847,6188,245.16369047619048
21227,844,34471,1971,71213,7758,244.84349163064607
21009,779,31964,1898,101058,5982,243.71167563508948
21869,24,990,206,61071,16318,242.42424242424244
21668,39,1645,292,77560,20956,237.08206686930092
21122,1447,61212,2644,111376,5805,236.3915572110044
20625,25,1065,439,115491,84882,234.74178403755866
20784,754,32355,1892,76830,5871,233.03971565445835
21750,88,3782,469,47652,9741,232.68112109994712
21917,46,1983,485,95430,13626,231.9717599596571
20879,630,27244,1848,96197,8243,231.24357656731758
21034,69,2988,337,79071,14231,230.92369477911646
21230,781,33995,1448,88962,5170,229.7396675981762
21718,3,131,37,64375,45875,229.00763358778627
21218,1078,47081,2492,56250,3627,228.96709925447632
21666,314,13738,907,107797,7031,228.56310962294367
21224,1047,46110,2381,80984,6077,227.06571242680548
21919,77,3400,616,113688,31116,226.47058823529412
21217,716,31694,2040,34884,4143,225.91026692749418
20707,809,36020,967,91315,6779,224.5974458634092
21837,71,3164,442,69457,14304,224.39949431099876
21628,9,402,157,72031,14830,223.88059701492537
