zip,perc_change
20746,3900
20748,3300
20653,3100
20616,2900
20774,2200
21015,2000
20603,1933.3333333333333
21921,1733.3333333333333
21158,1700
20877,1500
20607,1466.6666666666665
20646,1450
21144,1450
21042,1400
21229,1366.6666666666665
20619,1300
21911,1300
20721,1225
21220,1225
20735,1216.6666666666665
20639,1200
20695,1200
21114,1200
20634,1100
20740,1100
21228,1100
21236,1100
20602,1080
20716,1066.6666666666665
20783,1050
21044,1050
21009,1033.3333333333335
21239,1033.3333333333335
20851,1000
20882,1000
21043,1000
21133,1000
21225,1000
21784,1000
21801,1000
21851,1000
21040,975
20743,944.4444444444445
21001,933.3333333333334
21074,900
21157,900
21223,900
21237,900
21716,900
21401,850
20744,836.3636363636364
20794,800
21061,800
21102,800
21774,800
21222,788.8888888888889
21215,780
20723,733.3333333333333
21060,728.5714285714286
20601,722.2222222222223
21206,711.7647058823529
20657,700
20685,700
20852,700
20855,700
21048,700
21128,700
21217,700
21227,700
21826,700
20772,681.25
20784,680
21234,672.7272727272727
21078,666.6666666666667
21113,666.6666666666667
21207,653.8461538461538
21703,633.3333333333333
21136,616.6666666666667
20613,600
21076,600
21161,600
21409,600
21750,600
21903,600
20708,566.6666666666667
20659,550
20715,550
21075,550
21286,550
20747,541.6666666666667
20707,540
20678,533.3333333333333
20782,533.3333333333333
20871,533.3333333333333
20745,525
21216,511.1111111111111
20737,500
20841,500
21152,500
21756,500
21811,500
21850,500
21904,500
20866,466.6666666666667
21117,459.99999999999994
20832,450
21093,450
21713,450
21122,445.45454545454544
20904,440.00000000000006
21045,440.00000000000006
21221,437.5
21244,409.09090909090907
20714,400
20724,400
20912,400
21014,400
21219,400
21502,400
21613,400
21804,400
21817,400
21901,400
20706,390
20906,385.7142857142857
20705,375
20785,372.7272727272727
21740,369.2307692307692
21403,366.66666666666663
21146,350
21230,350
21788,350
21793,350
21701,346.1538461538462
21214,345.45454545454544
21224,344.44444444444446
21632,333.33333333333337
21771,333.33333333333337
20878,325
20874,318.1818181818182
20722,300
21046,300
21050,300
21108,300
21212,300
21561,300
21601,300
21619,300
21710,300
21782,300
21783,300
21837,300
21208,285.7142857142857
20901,266.66666666666663
21655,250
20636,233.33333333333334
20854,225
20876,225
20902,225
21085,225
20879,214.28571428571428
20622,200
20676,200
21032,200
21532,200
21557,200
21620,200
21629,200
21643,200
21651,200
21874,200
21915,200
21213,188.88888888888889
20720,175
20886,175
21231,166.66666666666669
20814,150
21218,146.15384615384613
20640,130
20658,100
20675,100
21087,100
21111,100
21131,100
21162,100
21202,100
21562,100
21636,100
20853,80
21154,75
21090,50
20769,33.33333333333333
21209,33.33333333333333
21550,28.57142857142857
21842,8.333333333333332
20736,0
20817,0
20895,0
21163,0
21660,0
21668,0
21776,0
21797,0
21204,-25
21205,-45.45454545454545
20712,-50
20776,-50
21057,-50
21132,-50
21912,-50
21536,-66.66666666666666
20618,-100
20625,-100
20630,-100
20711,-100
20733,-100
20751,-100
20815,-100
21538,-100
21622,-100
21657,-100
21665,-100
21717,-100
21727,-100
21872,-100
19964,NA
19973,NA
20230,NA
20236,NA
20473,NA
20604,NA
20606,NA
20608,NA
20609,NA
20611,NA
20612,NA
20615,NA
20617,NA
20620,NA
20621,NA
20623,NA
20624,NA
20626,NA
20628,NA
20629,NA
20632,NA
20635,NA
20637,NA
20644,NA
20645,NA
20650,NA
20656,NA
20662,NA
20664,NA
20667,NA
20670,NA
20674,NA
20677,NA
20680,NA
20684,NA
20686,NA
20687,NA
20688,NA
20689,NA
20690,NA
20692,NA
20693,NA
20701,NA
20702,NA
20703,NA
20704,NA
20710,NA
20717,NA
20718,NA
20719,NA
20725,NA
20732,NA
20734,NA
20741,NA
20742,NA
20750,NA
20754,NA
20755,NA
20757,NA
20758,NA
20759,NA
20760,NA
20762,NA
20763,NA
20764,NA
20765,NA
20770,NA
20771,NA
20773,NA
20777,NA
20778,NA
20779,NA
20780,NA
20781,NA
20787,NA
20788,NA
20812,NA
20816,NA
20818,NA
20825,NA
20827,NA
20833,NA
20837,NA
20838,NA
20839,NA
20842,NA
20847,NA
20848,NA
20850,NA
20856,NA
20857,NA
20860,NA
20861,NA
20862,NA
20868,NA
20872,NA
20873,NA
20875,NA
20880,NA
20889,NA
20892,NA
20894,NA
20896,NA
20898,NA
20899,NA
20903,NA
20905,NA
20907,NA
20910,NA
20913,NA
20918,NA
20956,NA
20967,NA
21000,NA
21005,NA
21010,NA
21012,NA
21013,NA
21016,NA
21017,NA
21025,NA
21028,NA
21029,NA
21030,NA
21031,NA
21034,NA
21035,NA
21036,NA
21037,NA
21047,NA
21051,NA
21052,NA
21053,NA
21054,NA
21056,NA
21064,NA
21071,NA
21077,NA
21082,NA
21084,NA
21094,NA
21101,NA
21104,NA
21105,NA
21106,NA
21107,NA
21112,NA
21120,NA
21121,NA
21126,NA
21130,NA
21138,NA
21140,NA
21153,NA
21155,NA
21156,NA
21160,NA
21201,NA
21203,NA
21210,NA
21211,NA
21226,NA
21233,NA
21235,NA
21240,NA
21241,NA
21250,NA
21251,NA
21252,NA
21260,NA
21287,NA
21307,NA
21402,NA
21405,NA
21407,NA
21411,NA
21412,NA
21515,NA
21520,NA
21521,NA
21522,NA
21523,NA
21524,NA
21528,NA
21529,NA
21530,NA
21531,NA
21539,NA
21540,NA
21541,NA
21542,NA
21543,NA
21545,NA
21546,NA
21555,NA
21602,NA
21603,NA
21607,NA
21610,NA
21612,NA
21617,NA
21621,NA
21623,NA
21625,NA
21626,NA
21627,NA
21628,NA
21631,NA
21634,NA
21635,NA
21637,NA
21638,NA
21639,NA
21640,NA
21641,NA
21642,NA
21644,NA
21645,NA
21646,NA
21647,NA
21648,NA
21649,NA
21650,NA
21652,NA
21653,NA
21654,NA
21656,NA
21658,NA
21659,NA
21661,NA
21662,NA
21663,NA
21664,NA
21666,NA
21667,NA
21669,NA
21670,NA
21671,NA
21672,NA
21673,NA
21675,NA
21676,NA
21677,NA
21678,NA
21679,NA
21700,NA
21702,NA
21704,NA
21705,NA
21706,NA
21707,NA
21708,NA
21711,NA
21714,NA
21715,NA
21718,NA
21719,NA
21720,NA
21722,NA
21723,NA
21733,NA
21734,NA
21737,NA
21738,NA
21742,NA
21744,NA
21746,NA
21754,NA
21755,NA
21757,NA
21758,NA
21760,NA
21762,NA
21764,NA
21766,NA
21767,NA
21769,NA
21770,NA
21773,NA
21777,NA
21778,NA
21779,NA
