date,pg_unemployment,pg_notices
2021-07-01,7.5,147
2021-08-01,7.4,244
2021-09-01,5.5,559
2021-10-01,5,590
2021-11-01,4.8,596
2021-12-01,3.6,608
2022-01-01,4.5,634
2022-02-01,4.1,677
2022-03-01,3.8,806
2022-04-01,3.3,1089
2022-05-01,3.4,866
2022-06-01,3.9,1018
2022-07-01,3.6,931
2022-08-01,3.6,1250
2022-09-01,3.1,1129
2022-10-01,3.4,1130
2022-11-01,3,1074
2022-12-01,2.7,1204
2023-01-01,3.2,1394
2023-02-01,3.2,1300
2023-03-01,2.5,1265
2023-04-01,2,1016
2023-05-01,2.3,1299
2023-06-01,1.7,1031
2023-07-01,1.8,1126
2023-08-01,1.9,1372
2023-09-01,1.9,1173
2023-10-01,2.3,1185
